Country,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper
Afghanistan,<1 ,<1 , 1,2 ,1 , 3,2 ,1 , 3,4 ,2 , 6,5 ,3 , 8,8 ,5 , 12,11 ,6 , 16,16 ,10 , 24,17 ,10 , 26
Albania,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Algeria,67 ,62 , 71,>95 ,>95 , >95,>95 ,>95 , >95,>95 ,>95 , >95,>95 ,>95 , >95,>95 ,>95 , >95,>95 ,>95 , >95,>95 ,>95 , >95,>95 ,>95 , >95
Angola,5 ,4 , 6,6 ,5 , 7,7 ,6 , 9,8 ,7 , 10,10 ,8 , 12,12 ,10 , 15,9 ,7 , 11,10 ,8 , 13,13 ,10 , 16
Antigua and Barbuda,<1 ,<1 , <1,<1 ,<1 , <1,<1 ,<1 , <1,<1 ,<1 , <1,<1 ,<1 , <1,<1 ,<1 , <1,<1 ,<1 , <1,<1 ,<1 , <1,<1 ,<1 , <1
Argentina,85 ,78 , 93,86 ,78 , 94,84 ,77 , 93,82 ,76 , 92,81 ,74 , 91,95 ,86 , >95,94 ,86 , >95,93 ,85 , >95,92 ,84 , >95
Armenia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Australia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Austria,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Azerbaijan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bahamas,22 ,20 , 25,18 ,17 , 20,15 ,13 , 16,20 ,17 , 23,16 ,13 , 19,22 ,19 , 28,17 ,14 , 21,19 ,16 , 24,21 ,18 , 26
Bahrain,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bangladesh,11 ,9 , 12,16 ,14 , 19,18 ,15 , 21,21 ,18 , 24,26 ,22 , 30,27 ,23 , 32,32 ,27 , 37,32 ,27 , 36,33 ,28 , 38
Barbados,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Belarus,>95 ,70 , >95,>95 ,68 , >95,>95 ,65 , >95,>95 ,70 , >95,>95 ,69 , >95,>95 ,73 , >95,>95 ,76 , >95,91 ,65 , >95,88 ,64 , >95
Belgium,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Belize,46 ,43 , 50,41 ,38 , 45,31 ,29 , 34,41 ,37 , 44,40 ,36 , 43,40 ,36 , 44,36 ,33 , 40,34 ,31 , 37,34 ,31 , 38
Benin,23 ,14 , 40,28 ,17 , 49,33 ,20 , 58,24 ,15 , 43,29 ,18 , 51,35 ,22 , 62,40 ,25 , 71,38 ,23 , 67,44 ,27 , 77
Bhutan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bolivia (Plurinational State of),6 ,5 , 6,6 ,5 , 6,9 ,8 , 9,11 ,11 , 12,13 ,12 , 14,22 ,20 , 24,28 ,25 , 30,33 ,30 , 35,40 ,37 , 43
Bosnia and Herzegovina,,,,,,,,,,,,,,,,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Botswana,29 ,25 , 32,34 ,28 , 38,40 ,33 , 45,45 ,36 , 51,42 ,34 , 49,45 ,35 , 52,42 ,32 , 49,38 ,28 , 45,38 ,28 , 46
Brazil,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bulgaria,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Burkina Faso,9 ,6 , 11,11 ,8 , 14,12 ,8 , 15,13 ,9 , 17,17 ,12 , 22,14 ,10 , 19,17 ,11 , 22,19 ,13 , 25,21 ,15 , 29
Burundi,10 ,8 , 12,11 ,9 , 13,12 ,10 , 15,14 ,11 , 17,17 ,13 , 20,19 ,14 , 23,24 ,18 , 29,28 ,20 , 34,30 ,22 , 38
Cabo Verde,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Cambodia,88 ,76 , >95,>95 ,83 , >95,>95 ,88 , >95,93 ,80 , >95,>95 ,82 , >95,>95 ,86 , >95,>95 ,83 , >95,>95 ,83 , >95,92 ,78 , >95
Cameroon,7 ,6 , 8,8 ,7 , 9,9 ,7 , 10,11 ,9 , 12,12 ,9 , 13,14 ,11 , 17,18 ,14 , 21,22 ,17 , 26,24 ,18 , 28
Canada,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Central African Republic,5 ,4 , 6,5 ,4 , 5,5 ,4 , 7,6 ,5 , 8,11 ,9 , 14,19 ,15 , 22,13 ,11 , 16,19 ,15 , 24,23 ,18 , 29
Chad,6 ,4 , 8,8 ,6 , 11,8 ,6 , 11,9 ,6 , 11,9 ,6 , 11,9 ,6 , 12,9 ,7 , 12,13 ,9 , 17,16 ,11 , 22
Chile,93 ,86 , >95,84 ,77 , 91,69 ,63 , 74,68 ,62 , 73,70 ,63 , 76,57 ,52 , 63,65 ,59 , 71,59 ,53 , 65,56 ,50 , 61
China,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Colombia,15 ,13 , 18,15 ,13 , 17,15 ,13 , 17,15 ,12 , 17,22 ,18 , 26,23 ,19 , 28,23 ,19 , 28,17 ,14 , 21,41 ,32 , 49
Comoros,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Congo,12 ,10 , 14,13 ,10 , 16,14 ,11 , 17,15 ,12 , 18,18 ,14 , 22,18 ,14 , 22,19 ,15 , 24,21 ,16 , 27,25 ,19 , 33
Costa Rica,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Croatia,,,,,,,,,,,,,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
