Country,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper
Afghanistan,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <500,<100 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<500 ,<100 , <500,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<500 , <1000,<1000 ,<500 , 1100,<1000 ,<500 , 1200,<1000 ,<500 , 1300,<1000 ,<500 , 1400,<1000 ,<500 , 1600
Albania,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Algeria,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , 1000,<1000 ,<500 , 1200,<1000 ,<1000 , 1400,<1000 ,<1000 , 1600,1100 ,<1000 , 1800,1300 ,<1000 , 2100,1500 ,1100 , 2500,1800 ,1200 , 2800,2000 ,1400 , 3200,2300 ,1700 , 3600,2600 ,1900 , 4000
Angola,1000 ,<500 , 2600,1300 ,<1000 , 3200,1600 ,<1000 , 3800,1900 ,<1000 , 4500,2300 ,<1000 , 5200,2800 ,1100 , 6100,3200 ,1300 , 7100,3700 ,1500 , 8100,4300 ,1800 , 9200,4800 ,2000 , 10 000,5500 ,2300 , 12 000,6100 ,2500 , 13 000,6900 ,2800 , 14 000,7700 ,3200 , 16 000,8400 ,3600 , 18 000,9300 ,4000 , 20 000,10 000 ,4400 , 21 000,11 000 ,4900 , 23 000,12 000 ,5600 , 25 000,14 000 ,6300 , 28 000,15 000 ,7000 , 30 000,17 000 ,8000 , 33 000,19 000 ,9000 , 36 000,21 000 ,10 000 , 40 000,24 000 ,12 000 , 44 000,27 000 ,13 000 , 49 000,30 000 ,15 000 , 54 000,33 000 ,17 000 , 60 000,36 000 ,19 000 , 65 000
Antigua and Barbuda,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500
Argentina,1700 ,<1000 , 3000,2100 ,<1000 , 4000,2700 ,1200 , 5000,3200 ,1500 , 6100,3800 ,1800 , 7200,4500 ,2200 , 8400,5100 ,2500 , 9500,5700 ,2900 , 11 000,6400 ,3300 , 12 000,7500 ,4000 , 14 000,8700 ,4800 , 16 000,10 000 ,5700 , 18 000,12 000 ,6700 , 20 000,13 000 ,7800 , 22 000,15 000 ,9000 , 24 000,17 000 ,10 000 , 27 000,18 000 ,12 000 , 29 000,20 000 ,13 000 , 32 000,22 000 ,15 000 , 35 000,25 000 ,17 000 , 38 000,27 000 ,19 000 , 41 000,29 000 ,21 000 , 44 000,32 000 ,23 000 , 46 000,34 000 ,24 000 , 49 000,37 000 ,27 000 , 52 000,39 000 ,29 000 , 54 000,42 000 ,31 000 , 57 000,44 000 ,33 000 , 60 000,47 000 ,36 000 , 63 000
Armenia,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<200 , <500,<500 ,<200 , <500,<500 ,<500 , <500,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<1000 , 1000,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1200
Australia,1100 ,<500 , 2100,1200 ,<1000 , 2300,1300 ,<1000 , 2400,1300 ,<1000 , 2600,1400 ,<1000 , 2700,1500 ,<1000 , 2900,1700 ,<1000 , 3000,1900 ,<1000 , 3500,2300 ,1200 , 4000,2700 ,1400 , 4700,3000 ,1600 , 5300,3500 ,1800 , 6000,3900 ,2100 , 6600,4300 ,2300 , 7300,4800 ,2600 , 8100,5300 ,2900 , 8900,5800 ,3300 , 9700,6400 ,3600 , 10 000,7000 ,4100 , 11 000,7700 ,4600 , 12 000,8300 ,5100 , 13 000,9000 ,5700 , 14 000,9700 ,6200 , 15 000,10 000 ,6800 , 16 000,11 000 ,7400 , 17 000,12 000 ,8000 , 17 000,13 000 ,8500 , 18 000,13 000 ,9000 , 19 000,14 000 ,9500 , 20 000
Austria,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Azerbaijan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
